type,name,method,api,body
branches,List branches,GET,/repos/{owner}/{repo}/branches,
branches,Get a branch,GET,/repos/{owner}/{repo}/branches/{branch},
branches,Sync a fork branch with the upstream repository,POST,/repos/{owner}/{repo}/merge-upstream,"{""branch"":""main""}"
code-scaning,List code scanning alerts for a repository,GET,/repos/{owner}/{repo}/code-scanning/alerts,
code-scaning,Get a code scanning alert,GET,/repos/{owner}/{repo}/code-scanning/alerts/{alert_number},
code-scaning,List repository collaboratorsList instances of a code scanning alert,GET,/repos/{owner}/{repo}/code-scanning/alerts/{alert_number}/instances,
code-scaning,List code scanning analyses for a repository,GET,/repos/{owner}/{repo}/code-scanning/analyses,
code-scaning,Get a code scanning analysis for a repository,GET,/repos/{owner}/{repo}/code-scanning/analyses/{analysis_id},
colaborators,List repository collaborators,GET,/repos/{owner}/{repo}/collaborators,
commits,List commits,GET,/repos/{owner}/{repo}/commits,
commits,List branches for HEAD commit,GET,/repos/{owner}/{repo}/commits/{commit_sha}/branches-where-head,
commits,List pull requests associated with a commit,GET,/repos/{owner}/{repo}/commits/{commit_sha}/pulls,
commits,Get a commit,GET,/repos/{owner}/{repo}/commits/{ref},
commits,Get a commit comment,GET,/repos/{owner}/{repo}/comments/{comment_id},
issues,List issues assigned to the authenticated user,GET,/issues,
issues,List repository issues,GET,/repos/{owner}/{repo}/issues,
issues,Get an issue,GET,/repos/{owner}/{repo}/issues/{issue_number},
issues,Create an issue,POST,/repos/{owner}/{repo}/issues,"{""title"":""Found a bug"",""body"":""I'\''m having a problem with this."",""assignees"":[""octocat""],""milestone"":1,""labels"":[""bug""]}"
issues,Update an issue,PATCH,/repos/{owner}/{repo}/issues/{issue_number},"{""title"":""Found a bug"",""body"":""I'\''m having a problem with this."",""assignees"":[""octocat""],""milestone"":1,""state"":""open"",""labels"":[""bug""]}"
issues,Lock an issue,PUT,/repos/{owner}/{repo}/issues/{issue_number}/lock,"{""lock_reason"":""off-topic""}"
issues,Unlock an issue,DELETE,/repos/{owner}/{repo}/issues/{issue_number}/lock,
issues,List user account issues assigned to the authenticated user,GET,/user/issues,
assignees,List assignees,GET,/repos/{owner}/{repo}/assignees,
assignees,Check if a user can be assigned,GET,/repos/{owner}/{repo}/assignees/{assignee},
assignees,Add assignees to an issue,POST,/repos/{owner}/{repo}/issues/{issue_number}/assignees,"{""assignees"":[""hubot"",""other_user""]}"
assignees,Remove assignees from an issue,DELETE,/repos/{owner}/{repo}/issues/{issue_number}/assignees,"{""assignees"":[""hubot"",""other_user""]}"
comments,List issue comments for a repository,GET,/repos/{owner}/{repo}/issues/comments,
comments,Get an issue comment,GET,/repos/{owner}/{repo}/issues/comments/{comment_id},
comments,List issue comments,GET,/repos/{owner}/{repo}/issues/{issue_number}/comments,
statistics,Get the weekly commit activity,GET,/repos/{owner}/{repo}/stats/code_frequency,
statistics,Get the last year of commit activity,GET,/repos/{owner}/{repo}/stats/commit_activity,
statistics,Get all contributor commit activity,GET,/repos/{owner}/{repo}/stats/contributors,
statistics,Get the weekly commit count,GET,/repos/{owner}/{repo}/stats/participation,
statistics,Get the hourly commit count for each day,GET,/repos/{owner}/{repo}/stats/punch_card,
projects,List repository projects,GET,/repos/{owner}/{repo}/projects,
repositories,Get repository content,GET,/repos/{owner}/{repo}/contents/{path},
repositories,Get a repository README,GET,/repos/{owner}/{repo}/readme,
repositories,Get a repository,GET,/repos/{owner}/{repo},
repositories,List repository activities,GET,/repos/{owner}/{repo}/activity,
repositories,List repository contributors,GET,/repos/{owner}/{repo}/contributors,
repositories,List repositories for the authenticated user,GET,/user/repos,
repositories,List repositories for a user,GET,/users/{username}/repos,
webhook,List repository webhooks,GET,/repos/{owner}/{repo}/hooks,
webhook,Create a repository webhook,POST,/repos/{owner}/{repo}/hooks,"{""name"":""web"",""active"":true,""events"":[""push"",""pull_request""],""config"":{""url"":""https://example.com/webhook"",""content_type"":""json"",""insecure_ssl"":""0""}}"
webhook,Get a repository webhook,GET,/repos/{owner}/{repo}/hooks/{hook_id},
webhook,Update a repository webhook,PATCH,/repos/{owner}/{repo}/hooks/{hook_id},"{""active"":true,""add_events"":[""pull_request""]}"
webhook,Delete a repository webhook,DELETE,/repos/{owner}/{repo}/hooks/{hook_id},
webhook,Get a webhook configuration for a repository,/repos/{owner}/{repo}/hooks/{hook_id}/config,,
webhook,Update a webhook configuration for a repository,PATCH,/repos/{owner}/{repo}/hooks/{hook_id}/config,"{""content_type"":""json"",""url"":""https://example.com/webhook""}"
webhook,List deliveries for a repository webhook,GET,/repos/{owner}/{repo}/hooks/{hook_id}/deliveries,
webhook,Get a delivery for a repository webhook,GET,/repos/{owner}/{repo}/hooks/{hook_id}/deliveries/{delivery_id},
webhook,Redeliver a delivery for a repository webhook,POST,/repos/{owner}/{repo}/hooks/{hook_id}/deliveries/{delivery_id}/attempts,
webhook,Ping a repository webhook,POST,/repos/{owner}/{repo}/hooks/{hook_id}/pings,
webhook,Test the push repository webhook,POST,/repos/{owner}/{repo}/hooks/{hook_id}/tests,
